Crosspoint listing for C:\Users\ntaga\Coding\CRESTRON\UK_Corinthya_7\CP4_upgrade_2024\Corinthia_7_CP4_v6_17_FEB_2025.SMW

Note:  Crosspoint symbols with EquipID or ControlID set to 0d are not routeable.

Equipment Crosspoint Routing.                                                                       EquipID
===========================================================================================================
S-5.1.1                                                                                             201
S-5.2.1                                                                                             202
S-5.3.1                                                                                             203
S-5.4.1                                                                                             204
S-5.5.1                                                                                             205
S-5.6.1                                                                                             206
S-5.7.1                                                                                             207
S-5.8.1                                                                                             208
S-5.9.1                                                                                             209
S-5.10.1                                                                                            210
S-5.11.1                                                                                            211
S-5.12.1                                                                                            212
S-5.13.1                                                                                            213
S-5.14.1                                                                                            214
S-5.15.1                                                                                            215

Control Crosspoint Routing.                                                                         ControlID
=============================================================================================================
S-2.3.1.1                                                                                           101
S-2.3.2.1                                                                                           102
S-2.4.1.1                                                                                           201
S-2.4.2.1                                                                                           202
S-2.4.3.1                                                                                           203
S-2.4.4.1                                                                                           204
S-2.5.1.1                                                                                           301
S-2.5.2.1                                                                                           302
S-2.5.3.1                                                                                           303
S-2.5.4.1                                                                                           304
S-2.5.5.1                                                                                           305
S-2.5.6.1                                                                                           306

